route_id,route_name,mode,operator,start_stop,end_stop,stops_count,stops_list,distance_km_est,total_travel_time_min,dwell_time_total_min,avg_speed_kmh_est,frequency_min,service_start,service_end,trips_per_day_est,geometry_wkt,source
R0017,ALIMENTADOR Marly — Avenida39,alimentador,Empresa SITP,Marly,Avenida39,11,Marly;SimónBolívar;Centro;Alquería;Quirigua;Av.Calle26;Soacha;Portal Sur;Usme;CiudadBolívar;Avenida39,10.71,51,8,12.6,30,06:58:00,21:14:00,28,LINESTRING(...),synthetic_generated_by_chatgpt
R0018,ALIMENTADOR Usaquén — La Candelaria,alimentador,Consorcio Zonal,Usaquén,La Candelaria,14,Usaquén;Calle80;Marsella;Venecia;Avenida39;Marly;Cedritos;Portal Sur;Bosa;Chía;Teusaquillo;LasAguas;CiudadBolívar;La Candelaria,13.37,56,13,14.33,12,04:48:00,21:39:00,84,LINESTRING(...),synthetic_generated_by_chatgpt
R0019,TRANSMILENIO_TRONCAL Centro — San Victorino,transmilenio_troncal,Transmilenio S.A.,Centro,San Victorino,20,Centro;Calle80;Suba;Galerías;Chapinero;La Castellana;Usaquén;Teusaquillo;PortalNorte;ColinaCampestre;Portal Sur;Fontibón;Monserrate;Salitre;Alquería;Acueducto;Venecia;SanAndresito;El Tintal;San Victorino,19.09,73,15,15.69,20,06:51:00,20:52:00,42,LINESTRING(...),synthetic_generated_by_chatgpt
R0020,SITP_COMPLEMENTARIA CiudadBolívar — Chapinero,sitp_complementaria,Empresa SITP,CiudadBolívar,Chapinero,10,CiudadBolívar;Suba;Galerías;Alquería;Usme;Kennedy;Modelo;Museo;Centro;Chapinero,7.73,27,6,17.18,7,04:15:00,20:14:00,137,LINESTRING(...),synthetic_generated_by_chatgpt
R0021,ALIMENTADOR Teusaquillo — Marly,alimentador,Transmilenio S.A.,Teusaquillo,Marly,8,Teusaquillo;Alquería;Modelo;Suba;Centro;PortalNorte;Fontibón;Marly,8.87,33,6,16.12,5,05:14:00,21:23:00,193,LINESTRING(...),synthetic_generated_by_chatgpt
R0022,SITP_COMPLEMENTARIA LasAguas — Acueducto,sitp_complementaria,Consorcio Zonal,LasAguas,Acueducto,16,LasAguas;San Victorino;Alquería;ColinaCampestre;Av.Calle26;Usaquén;SimónBolívar;Calle80;PlazaBolívar;Suba;Marsella;Usme;ZonaFranc;CiudadBolívar;Bosa;Acueducto,16.21,67,14,14.52,5,05:14:00,21:29:00,195,LINESTRING(...),synthetic_generated_by_chatgpt
R0023,SITP_URBAN PortalNorte — Calle80,sitp_urban,Consorcio Zonal,PortalNorte,Calle80,5,PortalNorte;Cedritos;Usme;Venecia;Calle80,3.7,12,3,18.5,5,06:16:00,20:50:00,174,LINESTRING(...),synthetic_generated_by_chatgpt
R0024,SITP_COMPLEMENTARIA SanAndresito — ColinaCampestre,sitp_complementaria,Operador B,SanAndresito,ColinaCampestre,7,SanAndresito;Marly;PortalNorte;Tunal;Galerías;Calle80;ColinaCampestre,8.34,20,2,25.02,5,04:07:00,23:15:00,229,LINESTRING(...),synthetic_generated_by_chatgpt
R0025,ALIMENTADOR Bosa — San Victorino,alimentador,Consorcio Zonal,Bosa,San Victorino,11,Bosa;Acueducto;Chapinero;Suba;GranEstación;La Castellana;Avenida19;Usaquén;Av.Calle26;Quirigua;San Victorino,12.73,39,4,19.59,10,06:21:00,23:41:00,104,LINESTRING(...),synthetic_generated_by_chatgpt
R0026,TRANSMILENIO_TRONCAL Museo — Usme,transmilenio_troncal,Empresa SITP,Museo,Usme,8,Museo;Calle80;Restrepo;Marsella;NQS;Fontibón;SimónBolívar;Usme,5.97,23,3,15.59,5,05:39:00,23:29:00,214,LINESTRING(...),synthetic_generated_by_chatgpt
R0027,SITP_URBAN Suba — Modelo,sitp_urban,Operador B,Suba,Modelo,10,Suba;Engativá;Usme;CiudadBolívar;Marly;SimónBolívar;La Castellana;Marsella;Quirigua;Modelo,7.87,32,9,14.76,30,04:16:00,23:43:00,38,LINESTRING(...),synthetic_generated_by_chatgpt
R0028,TRANSMILENIO_TRONCAL El Tintal — SanAndresito,transmilenio_troncal,Operador B,El Tintal,SanAndresito,8,El Tintal;Soacha;Avenida19;Quirigua;San Victorino;Restrepo;La Candelaria;SanAndresito,9.1,34,4,16.06,15,04:05:00,22:50:00,75,LINESTRING(...),synthetic_generated_by_chatgpt
R0029,ALIMENTADOR Calle80 — Fontibón,alimentador,Consorcio Zonal,Calle80,Fontibón,14,Calle80;SanAndresito;Tunal;Marly;Parque93;Centro;La Castellana;Av.Calle26;Chía;Kennedy;San Victorino;LasAguas;GranEstación;Fontibón,13.85,55,12,15.11,12,05:33:00,20:19:00,73,LINESTRING(...),synthetic_generated_by_chatgpt
R0030,ALIMENTADOR Fontibón — Alquería,alimentador,Transmilenio S.A.,Fontibón,Alquería,7,Fontibón;Centro;La Candelaria;NQS;Portal Sur;Marly;Alquería,5.45,27,5,12.1,5,05:45:00,23:24:00,211,LINESTRING(...),synthetic_generated_by_chatgpt
R0031,SITP_COMPLEMENTARIA Museo — La Candelaria,sitp_complementaria,Transmilenio S.A.,Museo,La Candelaria,17,Museo;Marsella;Acueducto;Venecia;Soacha;Tunal;Chapinero;Modelo;Centro;Marly;Chía;Suba;NQS;Bosa;CiudadBolívar;PortalNorte;La Candelaria,14.31,61,15,14.08,15,04:00:00,23:47:00,79,LINESTRING(...),synthetic_generated_by_chatgpt
R0032,CABLE Monserrate — Galerías,cable,Empresa SITP,Monserrate,Galerías,9,Monserrate;GranEstación;Marsella;Alquería;Chapinero;Teusaquillo;SimónBolívar;ColinaCampestre;Galerías,6.43,18,4,21.44,30,05:35:00,22:45:00,34,LINESTRING(...),synthetic_generated_by_chatgpt
R0033,SITP_URBAN SanAndresito — Engativá,sitp_urban,Consorcio Zonal,SanAndresito,Engativá,15,SanAndresito;Kennedy;Centro;Bosa;San Victorino;Salitre;Chapinero;Parque93;Marsella;CiudadBolívar;Acueducto;PlazaBolívar;Av.Calle26;LasAguas;Engativá,17.81,57,12,18.75,12,04:59:00,23:45:00,93,LINESTRING(...),synthetic_generated_by_chatgpt
R0034,CABLE Museo — Soacha,cable,Operador A,Museo,Soacha,20,Museo;Avenida39;GranEstación;Restrepo;CiudadBolívar;Avenida19;Quirigua;Galerías;Acueducto;SimónBolívar;Chapinero;San Victorino;Monserrate;Chía;Bosa;Teusaquillo;Portal Sur;Av.Calle26;Fontibón;Soacha,20.49,76,15,16.18,12,06:22:00,23:45:00,86,LINESTRING(...),synthetic_generated_by_chatgpt
R0035,ALIMENTADOR Parque93 — Fontibón,alimentador,Transmilenio S.A.,Parque93,Fontibón,10,Parque93;Cedritos;Marsella;Usme;Galerías;Chía;Avenida19;PortalNorte;Alquería;Fontibón,8.12,21,6,23.21,10,06:43:00,21:49:00,90,LINESTRING(...),synthetic_generated_by_chatgpt
R0036,SITP_COMPLEMENTARIA Avenida39 — PortalNorte,sitp_complementaria,Consorcio Zonal,Avenida39,PortalNorte,7,Avenida39;Fontibón;Teusaquillo;Usme;Usaquén;Centro;PortalNorte,6.18,27,5,13.73,20,06:57:00,22:52:00,47,LINESTRING(...),synthetic_generated_by_chatgpt
R0037,CABLE Salitre — Chía,cable,Consorcio Zonal,Salitre,Chía,20,Salitre;Alquería;Museo;Marsella;LasAguas;Centro;Acueducto;Suba;Fontibón;SanAndresito;Galerías;Tunal;Usme;PortalNorte;GranEstación;Parque93;Teusaquillo;PlazaBolívar;Avenida19;Chía,20.74,64,7,19.45,7,04:02:00,22:33:00,158,LINESTRING(...),synthetic_generated_by_chatgpt
R0038,SITP_COMPLEMENTARIA Soacha — Suba,sitp_complementaria,Operador A,Soacha,Suba,18,Soacha;Parque93;Av.Calle26;SanAndresito;Acueducto;PortalNorte;LasAguas;Museo;CiudadBolívar;Alquería;Usaquén;Quirigua;La Castellana;Restrepo;Engativá;San Victorino;Chapinero;Suba,13.41,53,6,15.18,7,04:21:00,23:41:00,165,LINESTRING(...),synthetic_generated_by_chatgpt
R0039,TRANSMILENIO_TRONCAL Venecia — Kennedy,transmilenio_troncal,Operador A,Venecia,Kennedy,18,Venecia;Quirigua;Fontibón;Tunal;La Castellana;Centro;CiudadBolívar;San Victorino;Chapinero;NQS;Cedritos;Soacha;Engativá;Museo;Bosa;Acueducto;Restrepo;Kennedy,18.05,69,11,15.7,5,05:13:00,21:20:00,193,LINESTRING(...),synthetic_generated_by_chatgpt
R0040,SITP_URBAN Avenida39 — Chía,sitp_urban,Consorcio Zonal,Avenida39,Chía,9,Avenida39;GranEstación;Galerías;Bosa;LasAguas;La Candelaria;Centro;La Castellana;Chía,7.24,29,4,14.97,12,04:56:00,23:37:00,93,LINESTRING(...),synthetic_generated_by_chatgpt
R0041,SITP_URBAN SanAndresito — Tunal,sitp_urban,Consorcio Zonal,SanAndresito,Tunal,10,SanAndresito;Teusaquillo;Galerías;Museo;La Castellana;Restrepo;Fontibón;Alquería;Avenida19;Tunal,10.6,38,9,16.73,5,05:22:00,21:37:00,195,LINESTRING(...),synthetic_generated_by_chatgpt
R0042,CABLE LasAguas — SimónBolívar,cable,Operador A,LasAguas,SimónBolívar,9,LasAguas;San Victorino;Kennedy;CiudadBolívar;Cedritos;Fontibón;PlazaBolívar;Avenida19;SimónBolívar,9.8,39,3,15.07,15,06:58:00,21:46:00,59,LINESTRING(...),synthetic_generated_by_chatgpt
R0043,TRANSMILENIO_TRONCAL ColinaCampestre — Quirigua,transmilenio_troncal,Transmilenio S.A.,ColinaCampestre,Quirigua,17,ColinaCampestre;Av.Calle26;Bosa;Teusaquillo;Restrepo;Suba;Kennedy;PortalNorte;Salitre;Venecia;El Tintal;NQS;CiudadBolívar;Chía;PlazaBolívar;LasAguas;Quirigua,17.14,55,7,18.7,15,05:19:00,23:57:00,74,LINESTRING(...),synthetic_generated_by_chatgpt
R0044,ALIMENTADOR Portal Sur — Cedritos,alimentador,Consorcio Zonal,Portal Sur,Cedritos,19,Portal Sur;Acueducto;Kennedy;Museo;PlazaBolívar;La Castellana;Avenida39;Centro;Chapinero;SimónBolívar;GranEstación;PortalNorte;Marly;Modelo;Alquería;Teusaquillo;LasAguas;Monserrate;Cedritos,14.2,53,13,16.07,5,06:48:00,21:00:00,170,LINESTRING(...),synthetic_generated_by_chatgpt
R0045,TRANSMILENIO_TRONCAL Chía — Modelo,transmilenio_troncal,Empresa SITP,Chía,Modelo,18,Chía;SimónBolívar;La Castellana;NQS;Kennedy;Fontibón;Suba;Salitre;Bosa;Soacha;Portal Sur;Parque93;Marsella;Tunal;Cedritos;GranEstación;Monserrate;Modelo,20.83,78,14,16.02,30,06:09:00,20:37:00,28,LINESTRING(...),synthetic_generated_by_chatgpt
R0046,CABLE Kennedy — Venecia,cable,Empresa SITP,Kennedy,Venecia,11,Kennedy;Monserrate;Quirigua;LasAguas;Parque93;Usaquén;Chapinero;NQS;Acueducto;Portal Sur;Venecia,11.65,45,8,15.54,20,04:59:00,22:21:00,52,LINESTRING(...),synthetic_generated_by_chatgpt
R0047,ALIMENTADOR Quirigua — Monserrate,alimentador,Empresa SITP,Quirigua,Monserrate,18,Quirigua;Av.Calle26;Avenida19;ZonaFranc;ColinaCampestre;NQS;La Castellana;SimónBolívar;Chía;Marly;SanAndresito;Usme;Modelo;CiudadBolívar;Restrepo;GranEstación;Centro;Monserrate,16.78,54,9,18.65,30,06:43:00,20:06:00,26,LINESTRING(...),synthetic_generated_by_chatgpt
R0048,ALIMENTADOR Museo — Salitre,alimentador,Consorcio Zonal,Museo,Salitre,13,Museo;Suba;Fontibón;Teusaquillo;NQS;Usaquén;Parque93;Galerías;PortalNorte;Bosa;Restrepo;LasAguas;Salitre,15.34,55,10,16.73,10,06:14:00,20:23:00,84,LINESTRING(...),synthetic_generated_by_chatgpt
R0049,TRANSMILENIO_TRONCAL Venecia — Fontibón,transmilenio_troncal,Operador A,Venecia,Fontibón,5,Venecia;Quirigua;PortalNorte;Bosa;Fontibón,4.62,19,3,14.59,10,05:55:00,23:13:00,103,LINESTRING(...),synthetic_generated_by_chatgpt
R0050,ALIMENTADOR Tunal — LasAguas,alimentador,Operador A,Tunal,LasAguas,12,Tunal;Bosa;Engativá;Kennedy;ZonaFranc;El Tintal;Alquería;Soacha;La Candelaria;Quirigua;Usme;LasAguas,14.3,50,5,17.16,15,04:39:00,22:33:00,71,LINESTRING(...),synthetic_generated_by_chatgpt
R0051,SITP_URBAN Quirigua — Engativá,sitp_urban,Empresa SITP,Quirigua,Engativá,19,Quirigua;PlazaBolívar;Avenida39;Usme;Venecia;Teusaquillo;Museo;Restrepo;San Victorino;SimónBolívar;Portal Sur;ZonaFranc;Suba;Avenida19;Acueducto;El Tintal;Modelo;Alquería;Engativá,19.51,69,8,16.96,10,06:20:00,22:01:00,94,LINESTRING(...),synthetic_generated_by_chatgpt
R0052,TRANSMILENIO_TRONCAL El Tintal — Engativá,transmilenio_troncal,Transmilenio S.A.,El Tintal,Engativá,17,El Tintal;CiudadBolívar;ZonaFranc;Marsella;Avenida39;Suba;Av.Calle26;LasAguas;Fontibón;NQS;Modelo;Bosa;Kennedy;Alquería;Avenida19;Galerías;Engativá,15.79,65,13,14.57,15,04:14:00,21:01:00,67,LINESTRING(...),synthetic_generated_by_chatgpt
R0053,ALIMENTADOR Tunal — Chía,alimentador,Operador A,Tunal,Chía,19,Tunal;LasAguas;Chapinero;Monserrate;Parque93;Centro;PlazaBolívar;Bosa;Suba;SanAndresito;Alquería;Portal Sur;Av.Calle26;Marsella;Galerías;Avenida19;Avenida39;SimónBolívar;Chía,19.36,77,16,15.09,20,06:12:00,22:39:00,49,LINESTRING(...),synthetic_generated_by_chatgpt
R0054,ALIMENTADOR Centro — Suba,alimentador,Operador A,Centro,Suba,11,Centro;Marsella;La Castellana;Monserrate;SanAndresito;Restrepo;NQS;Avenida19;Galerías;Calle80;Suba,10.66,46,6,13.91,7,04:39:00,20:19:00,134,LINESTRING(...),synthetic_generated_by_chatgpt
R0055,SITP_URBAN Bosa — Alquería,sitp_urban,Empresa SITP,Bosa,Alquería,12,Bosa;Chapinero;PlazaBolívar;Fontibón;San Victorino;Portal Sur;Quirigua;El Tintal;Centro;Soacha;Museo;Alquería,9.43,41,10,13.8,10,05:02:00,21:53:00,101,LINESTRING(...),synthetic_generated_by_chatgpt
R0056,CABLE SanAndresito — GranEstación,cable,Empresa SITP,SanAndresito,GranEstación,14,SanAndresito;Salitre;Museo;Calle80;Galerías;Alquería;ZonaFranc;Parque93;Bosa;Cedritos;Restrepo;Kennedy;Teusaquillo;GranEstación,13.47,58,10,13.93,7,04:12:00,22:50:00,159,LINESTRING(...),synthetic_generated_by_chatgpt
R0057,SITP_URBAN La Castellana — Calle80,sitp_urban,Consorcio Zonal,La Castellana,Calle80,17,La Castellana;Parque93;Venecia;Marly;Marsella;Museo;Portal Sur;Quirigua;LasAguas;Kennedy;Suba;ZonaFranc;SimónBolívar;Tunal;ColinaCampestre;Teusaquillo;Calle80,16.27,51,5,19.14,20,07:00:00,22:35:00,46,LINESTRING(...),synthetic_generated_by_chatgpt
R0058,ALIMENTADOR SimónBolívar — Av.Calle26,alimentador,Empresa SITP,SimónBolívar,Av.Calle26,10,SimónBolívar;San Victorino;Parque93;Museo;Marsella;Marly;Soacha;PlazaBolívar;ColinaCampestre;Av.Calle26,9.69,36,5,16.15,30,06:57:00,20:46:00,27,LINESTRING(...),synthetic_generated_by_chatgpt
R0059,CABLE Acueducto — Marsella,cable,Operador A,Acueducto,Marsella,18,Acueducto;Avenida39;LasAguas;PortalNorte;La Candelaria;Salitre;Restrepo;Centro;Quirigua;Tunal;Museo;Teusaquillo;Usaquén;Portal Sur;Parque93;Usme;NQS;Marsella,13.11,52,6,15.13,10,05:05:00,21:01:00,95,LINESTRING(...),synthetic_generated_by_chatgpt
R0060,ALIMENTADOR Fontibón — Parque93,alimentador,Consorcio Zonal,Fontibón,Parque93,12,Fontibón;Portal Sur;Centro;Av.Calle26;Cedritos;Marly;Galerías;Museo;ColinaCampestre;Suba;Kennedy;Parque93,12.85,49,8,15.74,20,05:00:00,20:29:00,46,LINESTRING(...),synthetic_generated_by_chatgpt
R0061,SITP_COMPLEMENTARIA Teusaquillo — Salitre,sitp_complementaria,Transmilenio S.A.,Teusaquillo,Salitre,8,Teusaquillo;Av.Calle26;Marsella;PortalNorte;Alquería;Chía;Fontibón;Salitre,7.73,27,3,17.19,7,05:08:00,23:16:00,155,LINESTRING(...),synthetic_generated_by_chatgpt
R0062,CABLE Chapinero — Avenida19,cable,Consorcio Zonal,Chapinero,Avenida19,14,Chapinero;SimónBolívar;Alquería;Usme;ZonaFranc;Bosa;Restrepo;Usaquén;La Castellana;Cedritos;NQS;Marsella;Av.Calle26;Avenida19,10.35,38,10,16.35,15,05:41:00,21:02:00,61,LINESTRING(...),synthetic_generated_by_chatgpt
R0063,SITP_URBAN Teusaquillo — Usme,sitp_urban,Operador A,Teusaquillo,Usme,15,Teusaquillo;PlazaBolívar;Marly;ColinaCampestre;Tunal;Parque93;Centro;Av.Calle26;San Victorino;Chapinero;El Tintal;Galerías;Soacha;SanAndresito;Usme,17.38,59,8,17.68,7,06:58:00,23:39:00,143,LINESTRING(...),synthetic_generated_by_chatgpt
R0064,CABLE PlazaBolívar — Avenida19,cable,Empresa SITP,PlazaBolívar,Avenida19,10,PlazaBolívar;Salitre;Venecia;NQS;ZonaFranc;Av.Calle26;Fontibón;Portal Sur;Modelo;Avenida19,11.25,33,3,20.46,12,05:26:00,20:31:00,75,LINESTRING(...),synthetic_generated_by_chatgpt
R0065,ALIMENTADOR Marsella — Monserrate,alimentador,Empresa SITP,Marsella,Monserrate,19,Marsella;Suba;PlazaBolívar;La Candelaria;GranEstación;La Castellana;NQS;Quirigua;ColinaCampestre;Avenida39;Parque93;Calle80;Kennedy;SanAndresito;LasAguas;Soacha;El Tintal;Salitre;Monserrate,13.98,43,11,19.51,7,05:19:00,21:22:00,137,LINESTRING(...),synthetic_generated_by_chatgpt
R0066,CABLE Marsella — El Tintal,cable,Transmilenio S.A.,Marsella,El Tintal,13,Marsella;ColinaCampestre;Salitre;Alquería;Portal Sur;Monserrate;Chapinero;Fontibón;Suba;La Castellana;Galerías;Tunal;El Tintal,15.38,59,12,15.65,20,05:10:00,20:35:00,46,LINESTRING(...),synthetic_generated_by_chatgpt
R0067,ALIMENTADOR Chapinero — Avenida39,alimentador,Consorcio Zonal,Chapinero,Avenida39,7,Chapinero;PlazaBolívar;Salitre;Calle80;Museo;Suba;Avenida39,8.15,28,6,17.46,30,04:13:00,23:47:00,39,LINESTRING(...),synthetic_generated_by_chatgpt
R0068,CABLE Bosa — Alquería,cable,Operador B,Bosa,Alquería,17,Bosa;Tunal;Restrepo;Centro;ZonaFranc;LasAguas;Calle80;Teusaquillo;La Candelaria;Marly;GranEstación;Av.Calle26;El Tintal;Monserrate;Kennedy;Venecia;Alquería,17.72,59,6,18.02,7,04:20:00,21:43:00,149,LINESTRING(...),synthetic_generated_by_chatgpt
R0069,SITP_URBAN CiudadBolívar — La Castellana,sitp_urban,Operador A,CiudadBolívar,La Castellana,12,CiudadBolívar;Fontibón;Kennedy;Usme;Calle80;Cedritos;PlazaBolívar;Marsella;LasAguas;Alquería;Tunal;La Castellana,13.28,46,10,17.33,20,05:53:00,20:57:00,45,LINESTRING(...),synthetic_generated_by_chatgpt
R0070,TRANSMILENIO_TRONCAL Bosa — Av.Calle26,transmilenio_troncal,Transmilenio S.A.,Bosa,Av.Calle26,6,Bosa;Calle80;Chía;Tunal;El Tintal;Av.Calle26,4.78,25,3,11.47,7,06:21:00,20:37:00,122,LINESTRING(...),synthetic_generated_by_chatgpt
R0071,TRANSMILENIO_TRONCAL Acueducto — SimónBolívar,transmilenio_troncal,Consorcio Zonal,Acueducto,SimónBolívar,9,Acueducto;ColinaCampestre;Alquería;La Candelaria;Monserrate;Usme;San Victorino;Modelo;SimónBolívar,8.39,23,8,21.89,30,06:11:00,21:31:00,30,LINESTRING(...),synthetic_generated_by_chatgpt
R0072,ALIMENTADOR Parque93 — Soacha,alimentador,Operador A,Parque93,Soacha,18,Parque93;Chapinero;Portal Sur;GranEstación;ZonaFranc;Marly;Engativá;Marsella;Museo;Cedritos;La Castellana;La Candelaria;Acueducto;Monserrate;SanAndresito;Fontibón;Chía;Soacha,14.2,48,5,17.75,30,05:20:00,22:36:00,34,LINESTRING(...),synthetic_generated_by_chatgpt
R0073,SITP_COMPLEMENTARIA Calle80 — Teusaquillo,sitp_complementaria,Empresa SITP,Calle80,Teusaquillo,19,Calle80;Chía;Usaquén;LasAguas;Salitre;Galerías;Avenida39;Av.Calle26;Marly;Bosa;Portal Sur;Venecia;NQS;Parque93;CiudadBolívar;ColinaCampestre;Engativá;Tunal;Teusaquillo,20.01,85,18,14.12,12,04:56:00,20:52:00,79,LINESTRING(...),synthetic_generated_by_chatgpt
R0074,SITP_COMPLEMENTARIA El Tintal — PlazaBolívar,sitp_complementaria,Consorcio Zonal,El Tintal,PlazaBolívar,8,El Tintal;ColinaCampestre;GranEstación;Engativá;PortalNorte;Chapinero;SanAndresito;PlazaBolívar,5.78,17,5,20.39,30,04:51:00,20:44:00,31,LINESTRING(...),synthetic_generated_by_chatgpt
R0075,SITP_URBAN Calle80 — Fontibón,sitp_urban,Empresa SITP,Calle80,Fontibón,18,Calle80;Marsella;La Castellana;Acueducto;Salitre;Chapinero;Usme;NQS;ColinaCampestre;ZonaFranc;Tunal;Modelo;PlazaBolívar;Avenida39;Soacha;Marly;CiudadBolívar;Fontibón,18.45,76,17,14.57,30,05:39:00,20:39:00,30,LINESTRING(...),synthetic_generated_by_chatgpt
